4/11/2019/23:7:47,  X = 30ec
4/10/2019/23:7:47,  Y = d007
4/10/2019/23:7:47,  Z = e03b
4/11/2019/23:7:52,  X = 30ec
4/10/2019/23:7:52,  Y = d007
4/10/2019/23:7:52,  Z = e03b
4/11/2019/23:7:57,  X = 30ec
4/10/2019/23:7:57,  Y = c007
4/10/2019/23:7:57,  Z = b03b
4/11/2019/23:8:2,  X = 10ec
4/10/2019/23:8:2,  Y = e007
4/10/2019/23:8:2,  Z = b03b
4/11/2019/23:8:7,  X = 40ec
4/10/2019/23:8:7,  Y = f007
4/10/2019/23:8:7,  Z = 803b
4/11/2019/23:8:12,  X = 30ec
4/10/2019/23:8:12,  Y = c007
4/10/2019/23:8:12,  Z = c03b
4/11/2019/23:8:17,  X = 30ec
4/10/2019/23:8:17,  Y = 2007
4/10/2019/23:8:17,  Z = 303b
4/11/2019/23:8:22,  X = 50ec
4/10/2019/23:8:22,  Y = a007
4/10/2019/23:8:22,  Z = 103c
4/11/2019/23:8:27,  X = 10ec
4/10/2019/23:8:27,  Y = b007
4/10/2019/23:8:27,  Z = f03b
4/11/2019/23:8:32,  X = 20ec
4/10/2019/23:8:32,  Y = f007
4/10/2019/23:8:32,  Z = 803b
4/11/2019/23:9:4,  X = 30ec
4/10/2019/23:9:5,  Y = 0008
4/10/2019/23:9:5,  Z = e03b
4/11/2019/23:9:9,  X = 40ec
4/10/2019/23:9:10,  Y = 1008
4/10/2019/23:9:10,  Z = 903b
4/11/2019/23:9:14,  X = 70ec
4/10/2019/23:9:15,  Y = 1008
4/10/2019/23:9:15,  Z = b03b
4/11/2019/23:9:19,  X = 40ec
4/10/2019/23:9:20,  Y = 9007
4/10/2019/23:9:20,  Z = 903b
4/11/2019/23:14:51,  X = 50d5
4/10/2019/23:14:51,  Y = 30f7
4/10/2019/23:14:51,  Z = 60fd
4/11/2019/23:14:56,  X = 10cb
4/10/2019/23:14:56,  Y = e0d9
4/10/2019/23:14:56,  Z = 6004
4/11/2019/23:15:1,  X = 70c7
4/10/2019/23:15:1,  Y = 50e4
4/10/2019/23:15:1,  Z = b0f7
4/11/2019/23:15:6,  X = b0f3
4/10/2019/23:15:6,  Y = 20e6
4/10/2019/23:15:6,  Z = 80c5
4/11/2019/23:15:11,  X = 30e8
4/10/2019/23:15:11,  Y = 00da
4/10/2019/23:15:11,  Z = c0dc
4/11/2019/23:15:16,  X = f0d4
4/10/2019/23:15:16,  Y = 701b
4/10/2019/23:15:16,  Z = 802d
4/11/2019/23:15:21,  X = 80f5
4/10/2019/23:15:21,  Y = 6017
4/10/2019/23:15:21,  Z = a0f3
4/11/2019/23:15:26,  X = e0cf
4/10/2019/23:15:26,  Y = 1026
4/10/2019/23:15:26,  Z = b009
4/11/2019/23:15:31,  X = e0cb
4/10/2019/23:15:31,  Y = 001e
4/10/2019/23:15:31,  Z = 300d
4/11/2019/23:15:36,  X = a0f3
4/10/2019/23:15:36,  Y = 300b
4/10/2019/23:15:36,  Z = 90c0
4/11/2019/23:15:41,  X = 00ac
4/10/2019/23:15:41,  Y = f023
4/10/2019/23:15:41,  Z = e0e0
4/11/2019/23:15:46,  X = 90ce
4/10/2019/23:15:46,  Y = b0f4
