4/11/2019/23:7:47,  X = 833b
4/10/2019/23:7:47,  Y = 853b
4/10/2019/23:7:47,  Z = 873b
4/11/2019/23:7:52,  X = 833b
4/10/2019/23:7:52,  Y = 853b
4/10/2019/23:7:52,  Z = 873b
4/11/2019/23:7:57,  X = 833b
4/10/2019/23:7:57,  Y = 853b
4/10/2019/23:7:57,  Z = 873b
4/11/2019/23:8:2,  X = 833b
4/10/2019/23:8:2,  Y = 853b
4/10/2019/23:8:2,  Z = 873b
4/11/2019/23:8:7,  X = 833b
4/10/2019/23:8:7,  Y = 853b
4/10/2019/23:8:7,  Z = 873b
4/11/2019/23:8:12,  X = 833b
4/10/2019/23:8:12,  Y = 853b
4/10/2019/23:8:12,  Z = 873b
4/11/2019/23:8:17,  X = 833b
4/10/2019/23:8:17,  Y = 853b
4/10/2019/23:8:17,  Z = 873b
4/11/2019/23:8:22,  X = 833c
4/10/2019/23:8:22,  Y = 853c
4/10/2019/23:8:22,  Z = 873c
4/11/2019/23:8:27,  X = 833b
4/10/2019/23:8:27,  Y = 853b
4/10/2019/23:8:27,  Z = 873b
4/11/2019/23:8:32,  X = 833b
4/10/2019/23:8:32,  Y = 853b
4/10/2019/23:8:32,  Z = 873b
4/11/2019/23:9:5,  X = 833b
4/10/2019/23:9:5,  Y = 853b
4/10/2019/23:9:5,  Z = 873b
4/11/2019/23:9:10,  X = 833c
4/10/2019/23:9:10,  Y = 853c
4/10/2019/23:9:10,  Z = 873c
4/11/2019/23:9:15,  X = 833c
4/10/2019/23:9:15,  Y = 853c
4/10/2019/23:9:15,  Z = 873c
4/11/2019/23:9:20,  X = 833b
4/10/2019/23:9:20,  Y = 853b
4/10/2019/23:9:20,  Z = 873b
4/11/2019/23:14:51,  X = 83fd
4/10/2019/23:14:51,  Y = 85fd
4/10/2019/23:14:51,  Z = 87fd
4/11/2019/23:14:56,  X = 8304
4/10/2019/23:14:56,  Y = 8504
4/10/2019/23:14:56,  Z = 8704
4/11/2019/23:15:1,  X = 83f7
4/10/2019/23:15:1,  Y = 85f7
4/10/2019/23:15:1,  Z = 87f7
4/11/2019/23:15:6,  X = 83c5
4/10/2019/23:15:6,  Y = 85c5
4/10/2019/23:15:6,  Z = 87c5
4/11/2019/23:15:11,  X = 83dc
4/10/2019/23:15:11,  Y = 85dc
4/10/2019/23:15:11,  Z = 87dc
4/11/2019/23:15:16,  X = 832d
4/10/2019/23:15:16,  Y = 852d
4/10/2019/23:15:16,  Z = 872d
4/11/2019/23:15:21,  X = 83f3
4/10/2019/23:15:21,  Y = 85f3
4/10/2019/23:15:21,  Z = 87f3
4/11/2019/23:15:26,  X = 8309
4/10/2019/23:15:26,  Y = 8509
4/10/2019/23:15:26,  Z = 8709
4/11/2019/23:15:31,  X = 830d
4/10/2019/23:15:31,  Y = 850d
4/10/2019/23:15:31,  Z = 870d
4/11/2019/23:15:36,  X = 83c0
4/10/2019/23:15:36,  Y = 85c0
4/10/2019/23:15:36,  Z = 87c0
4/11/2019/23:15:41,  X = 83e0
4/10/2019/23:15:41,  Y = 85e0
4/10/2019/23:15:41,  Z = 87e0
4/11/2019/23:15:46,  X = 83dd
4/10/2019/23:15:46,  Y = 85dd
4/10/2019/23:15:46,  Z = 87dd
4/11/2019/23:15:51,  X = 83fd
4/10/2019/23:15:51,  Y = 85fd
4/10/2019/23:15:51,  Z = 87fd
4/11/2019/23:15:56,  X = 83fe
4/10/2019/23:15:56,  Y = 85fe
4/10/2019/23:15:56,  Z = 87fe
4/11/2019/23:16:1,  X = 83be
4/10/2019/23:16:1,  Y = 85be
